ID,ItemName,ItemDesc,StackLimit,IconPath,Value,Quality
30012,灵稻种子,灵气充沛的稻种，种下后可收获大量食物,999999,assets/icons/item/seed_2.svg,8,0
30013,仙麦种子,仙灵之气孕育的麦种，种下后可收获丰厚食物,999999,assets/icons/item/seed_3.svg,25,0
40001,下品筑基丹,练气大圆满突破筑基时服用，增加20%突破几率（总计60%）,999999,assets/icons/item/pill_1.svg,300,1
40002,中品筑基丹,练气大圆满突破筑基时服用，增加35%突破几率（总计75%）,999999,assets/icons/item/pill_1.svg,600,2
40003,上品筑基丹,练气大圆满突破筑基时服用，增加55%突破几率（总计95%）,999999,assets/icons/item/pill_1.svg,1200,3
40011,下品金丹丹,筑基大圆满突破金丹时服用，增加20%突破几率（总计50%）,999999,assets/icons/item/pill_2.svg,1200,1
40012,中品金丹丹,筑基大圆满突破金丹时服用，增加35%突破几率（总计65%）,999999,assets/icons/item/pill_2.svg,2400,2
40013,上品金丹丹,筑基大圆满突破金丹时服用，增加55%突破几率（总计85%）,999999,assets/icons/item/pill_2.svg,5000,3
40021,下品元婴丹,金丹大圆满突破元婴时服用，增加20%突破几率（总计45%）,999999,assets/icons/item/pill_3.svg,5000,1
40022,中品元婴丹,金丹大圆满突破元婴时服用，增加35%突破几率（总计60%）,999999,assets/icons/item/pill_3.svg,10000,2
40023,上品元婴丹,金丹大圆满突破元婴时服用，增加55%突破几率（总计80%）,999999,assets/icons/item/pill_3.svg,20000,3
40031,下品化神丹,元婴大圆满突破化神时服用，增加20%突破几率（总计40%）,999999,assets/icons/item/pill_4.svg,20000,1
40032,中品化神丹,元婴大圆满突破化神时服用，增加35%突破几率（总计55%）,999999,assets/icons/item/pill_4.svg,40000,2
40033,上品化神丹,元婴大圆满突破化神时服用，增加55%突破几率（总计75%）,999999,assets/icons/item/pill_4.svg,80000,3
40041,下品炼虚丹,化神大圆满突破炼虚时服用，增加20%突破几率（总计35%）,999999,assets/icons/item/pill_5.svg,60000,1
40042,中品炼虚丹,化神大圆满突破炼虚时服用，增加35%突破几率（总计50%）,999999,assets/icons/item/pill_5.svg,120000,2
40043,上品炼虚丹,化神大圆满突破炼虚时服用，增加55%突破几率（总计70%）,999999,assets/icons/item/pill_5.svg,250000,3
40051,下品合体丹,炼虚大圆满突破合体时服用，增加20%突破几率（总计30%）,999999,assets/icons/item/pill_6.svg,250000,1
40052,中品合体丹,炼虚大圆满突破合体时服用，增加35%突破几率（总计45%）,999999,assets/icons/item/pill_6.svg,500000,2
40053,上品合体丹,炼虚大圆满突破合体时服用，增加55%突破几率（总计65%）,999999,assets/icons/item/pill_6.svg,1000000,3
40061,下品大乘丹,合体大圆满突破大乘时服用，增加20%突破几率（总计28%）,999999,assets/icons/item/pill_7.svg,1000000,1
40062,中品大乘丹,合体大圆满突破大乘时服用，增加35%突破几率（总计43%）,999999,assets/icons/item/pill_7.svg,2000000,2
40063,上品大乘丹,合体大圆满突破大乘时服用，增加55%突破几率（总计63%）,999999,assets/icons/item/pill_7.svg,4000000,3
40071,下品渡劫丹,大乘大圆满突破渡劫时服用，增加20%突破几率（总计25%）,999999,assets/icons/item/pill_8.svg,3000000,1
40072,中品渡劫丹,大乘大圆满突破渡劫时服用，增加35%突破几率（总计40%）,999999,assets/icons/item/pill_8.svg,6000000,2
40073,上品渡劫丹,大乘大圆满突破渡劫时服用，增加55%突破几率（总计60%）,999999,assets/icons/item/pill_8.svg,12000000,3
40101,培元丹,服用后修为+50，可在背包中直接使用,999999,assets/icons/item/pill_9.svg,50,0
40102,聚灵丹,服用后体魄+30，可在背包中直接使用,999999,assets/icons/item/pill_10.svg,200,0
40103,固本丹,服用后寿命+10，可在背包中直接使用,999999,assets/icons/item/pill_11.svg,10000,0
50001,铁矿石,最基础的矿石，可用于炼丹炉燃料,999999,assets/icons/item/ore_1.svg,3,0
50002,灵铁矿,蕴含灵气的矿石，炼丹良材,999999,assets/icons/item/ore_2.svg,10,0
50003,秘银矿,珍贵的秘银矿石，炼丹佳品,999999,assets/icons/item/ore_3.svg,40,0
50004,寒铁矿,寒冰凝结的矿石，炼制高阶丹药必备,999999,assets/icons/item/ore_4.svg,120,0
50005,天外陨铁,来自天外的陨铁，炼制极品丹药的珍材,999999,assets/icons/item/ore_5.svg,500,0
