ID,Desc,Xiuyi,Tipao,Shouming,Qiyun,Yuanshen,Weight,EquipmentID,LevelMin,LevelMax,ItemID,ItemCount
21,你在溪边垂钓，意外钓到一尾灵鱼，食后精力充沛,5,10,0,5,0,8000,10001,1,9,,
22,你夜间修炼时偶见流星，心有所悟,15,0,0,0,10,8000,10001,1,9,,
23,你在山中迷路三日，饥寒交迫,-3,-3,-3,0,0,9000,10001,1,9,,
24,你偶遇云游散修，互相交流受益匪浅,18,0,0,10,5,7000,10001,1,9,20001,2
25,你在瀑布下打坐修炼，体魄增强,10,20,0,0,0,8000,10001,1,9,,
26,你被师姐指导剑法，修为精进,28,8,0,3,0,7000,10001,1,9,,
27,你发现一处废弃矿洞，从中挖出灵石若干,5,0,0,12,0,7000,10001,1,9,20001,8
28,你在林中遭遇毒蛇，中毒后寿命受损,0,-3,-8,0,0,7000,10001,1,9,,
29,你帮助村民驱赶妖兽，获得感谢,12,8,0,10,0,8000,10001,1,9,20001,3
30,你在梦中受高人指点，醒来后若有所悟,22,0,0,0,10,6000,10001,1,9,,
31,你在深山发现一株千年灵芝，服用后功力大增,35,5,0,0,5,5000,10001,1,13,,
32,你参加宗门大比，发挥出色获得嘉奖,30,15,0,10,0,6000,10005,1,13,20001,8
33,你在秘境中历练，获得珍贵药材,22,10,0,8,5,6000,10001,1,13,,
34,你遭遇雷暴天气，被余威波及,-6,-8,-6,0,0,6000,10001,1,13,,
35,你得到师父传授的高级功法，修为大进,40,0,0,0,8,5000,10001,1,13,20001,5
36,你在拍卖会上购得一件法器,5,0,0,10,0,5000,10010,1,13,,
37,你结交同门好友，一起修炼进步更快,20,10,0,8,8,7000,10001,1,13,,
38,你遭遇山贼劫道，虽然脱险但受了伤,-5,-6,-4,-3,0,7000,10001,1,13,,
39,你在古战场遗迹中吸收残留灵气,28,0,0,0,10,5000,10001,1,13,,
40,你偶遇炼丹师，花灵石请其炼制培元丹,5,12,8,0,0,6000,10001,1,13,,
41,你发现前辈留下的洞府，获得一些修炼资源,30,8,0,10,5,5000,10001,10,17,20001,10
42,你在宗门试炼中表现优异，获得奖励,35,18,0,12,0,5000,10015,10,17,20001,12
43,你遭遇妖兽围攻，苦战后脱身,-10,-10,-8,0,0,5000,10001,10,17,,
44,你参悟一部上古功法，修为大增,45,0,0,0,12,4500,10001,10,17,,
45,你被长老赏识，获得单独指点,40,0,0,0,10,4500,10001,10,17,,
46,你在秘境中发现灵矿，获得大量灵石,5,0,0,20,0,5000,10001,10,17,20001,18
47,你遭遇心魔试炼，艰难渡过,-6,0,-3,5,15,5000,10001,10,17,,
48,你与魔修交手，险胜后获得战利品,28,18,-5,10,0,4500,10020,10,17,20001,10
49,你在幽深洞窟中发现一池灵液,22,12,3,0,8,5000,10001,10,17,,
50,你修炼失误，灵力暴走,-12,-6,-8,0,-6,5000,10001,10,17,,
51,你被天雷击中，奇迹般地活了下来,15,25,-5,15,0,5000,10001,10,17,,
52,你在废墟中发现一柄古剑，隐含剑意,5,0,0,5,15,4500,10025,10,17,,
53,你得到一瓶金丹期修士炼制的灵丹,35,0,6,0,0,5000,10001,10,17,,
54,你在山中遭遇暴风雪，体魄受损,-3,-8,-6,0,0,5000,10001,10,17,,
55,你结识一位炼器师，获赠法器,5,0,0,8,0,4500,10030,10,17,,
56,你发现上古传送阵，意外来到一处福地,40,12,0,10,10,3500,10001,10,21,,
57,你在宗门秘境中获得大量资源,35,18,0,15,0,4000,10001,10,21,20001,15
58,你遭遇化形妖兽，险死还生,-15,-12,-12,0,0,4000,10001,10,21,,
59,你得到前辈遗留的修炼心得，受益良多,45,0,0,0,15,4000,10001,10,21,,
60,你在闭关中有所突破，道心更坚,28,0,0,0,20,4000,10001,10,21,,
61,你参加修士聚会，与人论道受益匪浅,22,0,0,12,12,4500,10001,10,21,,
62,你遭遇劫匪，损失惨重,-8,0,-5,-10,0,4500,10001,10,21,,
63,你在密林深处发现一颗万年灵果,5,18,10,0,10,3500,10001,10,21,,
64,你与同门师兄比试，惜败但收获颇多,15,12,0,5,10,4500,10001,10,21,,
65,你在古墓中发现上古修士遗骸，获得传承玉简,50,0,0,0,15,3000,10001,14,21,20001,25
66,你炼制丹药失败，灵材尽毁,0,0,-3,-10,0,4500,10001,14,21,,
67,你在天坑底部发现一眼地火，借此淬炼肉身,5,30,0,0,10,3500,10001,14,21,,
68,你遭遇同门暗算，受伤后被发现并救治,-10,-6,-8,0,-6,4000,10001,14,21,,
69,你在商会购得一本绝版功法,40,0,0,10,0,3500,10001,14,21,,
70,你偶遇上古阵法，参悟后神识大增,5,0,0,0,25,3500,10001,14,21,,
71,你在仙人遗迹发现一汪仙泉，饮后修为大增,55,0,8,0,0,3000,10001,14,25,,
72,你与元婴修士切磋，虽败犹荣,20,25,0,10,10,3500,10001,14,25,,
73,你遭遇天劫余威，身心俱损,-15,-10,-12,0,-6,3500,10001,14,25,,
74,你得到一块天外陨铁，蕴含奇异能量,5,0,0,15,20,3000,10001,14,25,,
75,你在极北冰原发现太古冰蚕，获得其蚕丝,15,0,0,20,0,3000,10035,14,25,,
76,你参加仙门联合大比，名列前茅,45,25,0,15,0,3000,10040,14,25,20001,20
77,你被魔修暗算，险些殒命,-18,-15,-15,0,-8,3500,10001,14,25,,
78,你发现一处龙脉灵眼，在此修炼事半功倍,50,0,0,5,10,3000,10001,14,25,,
79,你在深海遗迹中发现上古法宝,5,0,0,10,0,2500,10045,14,25,,
80,你闭关修炼有成，道行精进,40,0,0,0,15,3500,10001,14,25,,
81,你遭遇天地异变，灵气暴动,-10,0,-8,0,-10,3500,10001,14,25,,
82,你在梦境中经历一世轮回，心境大涨,8,0,0,0,30,2500,10001,14,25,,
83,你偶遇仙人分身，获得指点,60,0,0,0,10,2000,10001,18,29,,
84,你在仙界裂缝处吸收仙灵之气,55,0,0,10,10,2500,10001,18,29,,
85,你遭遇化神期魔修伏击，浴血苦战,-15,-15,-12,10,0,2500,10001,18,29,,
86,你在上古遗迹中获得一枚道果,45,0,0,0,25,2500,10001,18,29,,
87,你参加宗门护山大阵演练，获得奖赏,35,18,0,15,10,3000,10050,18,29,20001,25
88,你在雷池中淬炼肉身，脱胎换骨,15,35,-5,0,5,2500,10001,18,29,,
89,你遭遇内魔外魔齐攻，元神重创,-8,0,-5,0,-18,2500,10001,18,29,,
90,你在秘境中得到太古神兽精血,5,30,8,10,0,2500,10001,18,29,,
91,你参悟天道法则一隅，修为暴涨,65,0,0,0,20,2000,10001,18,29,,
92,你被困幻阵三年，虽脱困但耗费大量寿元,-3,0,-20,0,10,2500,10001,18,29,,
93,你在仙草园中发现九转仙草,50,0,12,0,0,2000,10001,18,29,,
94,你遭遇虚空风暴，灵力溃散,-20,-8,-10,0,-10,2500,10001,18,29,,
95,你得到一枚远古仙丹，服用后脱胎换骨,60,25,10,10,10,1500,10001,22,33,20001,35
96,你在仙界边境历练，收获颇丰,50,18,0,15,15,2000,10001,22,33,20001,30
97,你遭遇大乘修士降维打击，几乎陨落,-22,-18,-18,0,-10,2000,10001,22,33,,
98,你在混沌之地感悟大道,70,0,0,0,25,1500,10001,22,33,,
99,你获得一缕仙界本源之力,55,0,0,20,15,2000,10001,22,33,,
100,你在古战场中吸收残留的仙力,45,25,0,10,10,2500,10001,22,33,,
101,你遭遇反噬，修为受损,-18,0,-10,0,-15,2500,10001,22,33,,
102,你在雷劫中悟道，实力大增,65,18,-10,0,20,2000,10001,22,33,,
103,你发现一处仙人府邸，获得传承,60,0,0,15,15,1500,10001,22,33,20001,40
104,你在虚空裂缝中发现异宝,5,0,0,20,0,2000,10055,22,33,,
105,你感悟岁月法则，寿命大增,5,0,15,0,15,2000,10001,22,33,,
106,你在时间长河中体悟道韵,30,0,0,0,30,1500,10001,22,33,,
107,你在远古圣地修炼，功力精进,65,0,0,0,20,1500,10001,26,37,,
108,你得到仙界赐福，全属性提升,40,25,8,15,15,2000,10001,26,37,20001,35
109,你遭遇天道雷劫，全身伤痕累累,-22,-18,-18,-8,0,2000,10001,26,37,,
110,你参悟空间法则，修为大涨,75,0,0,0,25,1500,10001,26,37,,
111,你在仙魔战场获得仙器碎片,5,0,0,15,0,1500,10060,26,37,,
112,你被仙界高人渡过一缕仙元,60,0,10,10,10,1500,10001,26,37,,
113,你遭遇天罚，险些形神俱灭,-25,-15,-22,0,-15,1500,10001,26,37,,
114,你在绝地逢生，心境圆满,25,0,0,0,35,1500,10001,26,37,,
115,你在混沌虚空中发现先天至宝,5,0,0,25,0,1000,10065,26,37,,
116,你遭遇仙界追杀，寿命大损,-8,0,-25,-8,0,1500,10001,26,37,,
117,你在世界树下悟道七七四十九天,80,0,0,0,30,1000,10001,30,42,,
118,你得到创世之力的洗礼,70,35,15,20,20,1200,10001,30,42,20001,55
119,你遭遇天道轮回，前世记忆涌现,50,0,0,30,35,1200,10001,30,42,,
120,你在星辰大海中采集星辰之力,65,25,0,15,15,1500,10001,30,42,20001,45
121,你遭遇末法天劫，法力尽失后重聚,-30,-15,-25,0,-18,1500,10001,30,42,,
122,你参悟因果法则，道行圆满,60,0,0,0,40,1000,10001,30,42,,
123,你在永恒之树下获得不朽之力,40,0,20,0,20,1000,10001,30,42,,
124,你遭遇虚空乱流，肉身崩碎后重塑,-15,-22,-18,0,10,1200,10001,30,42,,
125,你在万界通道中获得至宝,5,0,0,30,0,1000,10070,30,42,,
126,你感悟生死轮回，超脱凡尘,55,0,0,25,25,1000,10001,30,42,,
127,你在太虚中发现鸿蒙之气,85,0,0,0,20,800,10001,34,42,,
128,你与天道共鸣，修为暴涨,90,0,0,10,30,800,10001,34,42,,
129,你遭遇成仙劫难，全力以赴,-40,-22,-30,0,-15,1000,10001,38,42,,
130,你在仙界留下道统，功德加身,70,30,12,25,25,800,10001,38,42,20001,65
131,你飞升仙界，成就仙道,1000,500,500,500,500,1000,10001,42,42,20001,100
132,你在野外发现一窝灵蛋，孵化出灵宠,5,0,0,12,0,7000,10001,1,9,,
133,你被师妹强拉去逛街，耽误了修炼,-2,0,-1,5,0,8000,10001,1,9,,
134,你在河底发现一块通灵玉髓,15,8,0,0,8,7000,10001,1,9,,
135,你参加宗门年终考核，获得灵石奖励,20,0,0,10,0,7000,10001,1,9,20001,5
136,你在山间遇到雷暴，被劈得外焦里嫩,-1,-5,-4,0,0,8000,10001,1,9,,
137,你偷偷跑去看师姐练剑，被师父罚面壁,-3,0,0,-2,3,8000,10001,1,9,,
138,你在井底发现一枚古钱，蕴含奇异灵力,5,0,0,10,5,6000,10001,1,9,,
139,你吃了师兄炼制的实验性丹药，效果奇特,12,-2,0,0,8,7000,10001,1,9,,
140,你在月圆之夜吸收月华，元神凝实,5,0,0,0,15,6000,10001,1,9,,
141,你下山除妖，斩杀一只百年妖狼,18,10,-2,8,0,6000,10001,1,9,,
142,你在枯井中发现上古符文，参悟后有所领悟,22,0,0,0,8,6000,10001,1,9,,
143,你帮厨房师叔熬制灵汤，偷喝一碗后体魄增强,5,15,0,0,0,7000,10001,1,9,,
144,你在宗门布告栏接了一个除虫任务，轻松完成,10,5,0,5,0,8000,10001,1,9,,
145,你被执法堂罚了三天禁闭，修炼了三天,15,0,0,-3,5,7000,10001,1,9,,
146,你在山涧发现一条灵蛇蜕下的皮，炼制成护身符,5,0,0,8,0,7000,10010,1,9,,
147,你遭遇暴雨山洪，冲走了你的灵石存款,0,0,-2,-6,0,7000,10001,1,9,,
148,你在梦中游历太虚，与先贤对话,15,0,0,0,12,5000,10001,1,13,,
149,你发现一处被遗忘的灵脉矿区,5,0,0,18,0,5000,10001,1,13,20001,10
150,你在集市上购得一枚品质不错的丹药,22,0,3,0,0,6000,10001,1,13,,
151,你遭遇外门弟子挑衅，将其击败,15,10,0,8,0,6000,10001,1,13,,
152,你在宗门任务中发现了一处秘境入口,28,12,0,10,5,4000,10001,10,17,,
153,你参加炼丹大会，获得第三名,15,0,0,15,5,4500,10001,10,17,,
154,你遭遇邪修偷袭，虽然击退但消耗巨大,-6,-3,-5,0,-3,4500,10001,10,17,,
155,你在万妖山脉猎杀妖兽，获得兽核若干,22,15,-2,10,0,4500,10001,10,17,20001,12
156,你在悬崖绝壁采得一株断肠草，炼制成续命丹,5,0,8,0,0,5000,10001,10,17,,
157,你被困在阵法中七日，艰难破阵而出,12,0,-8,0,12,4500,10001,10,17,,
158,你在深潭底部发现远古修士的储物袋,28,8,0,15,0,3500,10020,10,21,20001,18
159,你被魔修追杀，逃入绝地后意外获得机缘,40,0,0,0,15,3000,10001,14,25,,
160,你在雷泽中历练，肉身得到淬炼,15,25,-5,0,5,3500,10001,14,25,,
161,你与道侣双修，功力互补精进,32,0,0,10,15,3500,10001,14,25,,
162,你在血池中浸泡三日，体魄脱胎换骨,5,35,-3,0,5,3000,10001,14,25,,
163,你感悟四季轮回，道心升华,28,0,0,0,20,3000,10001,14,25,,
164,你被困在迷雾森林中半月，消耗大量灵力,-10,-3,-8,0,0,3500,10001,14,25,,
165,你在火山口采集到地心火莲,32,0,0,15,10,2500,10001,18,29,,
166,你在紫霄宫遗址参悟壁画上的仙诀,50,0,0,0,20,2000,10001,18,29,,
167,你遭遇空间乱流，被卷入异域,18,12,-15,20,0,2000,10001,22,33,,
168,你在九天雷池中淬炼元神,5,0,-8,0,35,2000,10001,22,33,,
169,你在万界商会拍得一件上古遗物,5,0,0,20,0,1500,10055,22,33,,
170,你参悟长生法则，寿命暴增,5,0,18,10,10,1500,10001,22,33,,
171,你在天地大劫中坚守本心,45,12,-5,10,20,1500,10001,26,37,,
172,你获得一缕天道意志的认可,60,0,0,15,20,1200,10001,30,42,,
173,你在渡劫池中吞吐雷霆,55,30,-15,0,15,1200,10001,34,42,,
174,你在轮回中体验百世人生，道心如铁,40,0,0,20,35,800,10001,38,42,,
175,你下山历练时误入凡间小镇，帮人看病获报酬,8,0,0,8,0,8000,10001,1,9,,
176,你在暴风雨中感悟天地之威,15,0,0,0,8,7000,10001,1,13,,
177,你采药途中发现一株紫灵芝，服用后真气充盈,25,0,0,0,0,6000,10001,1,13,,
178,你在坊市与人打赌斗法，赢得一件灵器,5,0,0,12,0,5000,10015,10,17,,
179,你在地底暗河中发现灵石矿脉,5,0,0,20,0,4000,10001,10,21,20001,15
180,你在飞瀑之下修炼铁布衫神功,5,25,0,0,5,5000,10001,10,17,,
181,你在魔渊边缘吸收一丝魔气，炼化后实力大增,32,12,0,0,10,3000,10001,14,25,,
182,你在仙魔古战场拾得一片仙甲残片,5,0,0,10,0,2000,10050,18,29,,
183,你在通天河捕获一条千年锦鲤，食其肉增寿,5,0,12,8,0,3000,10001,14,25,,
184,你在死亡沙漠中发现绿洲秘境,38,12,0,10,10,2500,10001,18,29,,
185,你在宗门大殿听太上长老讲道一日,45,0,0,0,15,3500,10001,14,25,,
186,你在虫谷采集到金蚕蛊毒,5,0,0,0,0,4000,10025,10,17,,
187,你在雪山之巅打坐七日，心如止水,20,0,0,5,18,3000,10001,14,25,,
188,你在鬼域边界感悟死气，对生死有了更深领悟,5,0,0,0,20,2500,10001,18,29,,
189,你在仙人遗留的棋局中悟道,30,0,0,0,25,2000,10001,22,33,,
190,你在药王谷学习炼丹之术，顺带服了几炉丹药,22,8,3,5,5,4000,10001,10,17,,
191,你在五行山中感悟五行法则,28,12,0,5,10,3000,10001,14,25,,
192,你遭遇天魔幻境考验，心志坚定通过,-3,0,-3,10,15,3000,10001,18,29,,
193,你在古仙洞府发现一面照妖镜,5,0,0,10,0,2000,10040,18,29,,
194,你在万兽山猎杀妖王，获得妖丹,32,25,-5,15,0,2000,10001,18,29,20001,25
195,你在无尽海域中寻到龙宫遗址,45,18,0,20,10,1500,10001,22,33,20001,30
196,你在时空裂缝中捡到一块混沌石,5,0,0,25,15,1200,10001,26,37,,
197,你将三千烦恼尽斩，道心通明,12,0,0,0,30,1500,10001,22,33,,
198,你在天雷中淬炼法宝，法宝品质提升,5,0,0,10,0,2000,10045,14,25,,
199,你在梦境中经历轮回，悟得因果之道,25,0,0,15,20,1500,10001,22,33,,
200,你在太古遗迹发现一座传功石碑,55,0,0,0,20,1500,10001,26,37,,
