ID,EquipmentName,IconPath,Column,EquipmentQuality,Desc,Xiuyi,Tipao,Shouming,Qiyun,Yuanshen,LevelMin,LevelMax,Value
10064,金佩,assets/icons/equip/treasure_q3.svg,6,3,一块金佩，可增气运,40,0,0,10,0,9,13,280
10065,神剑,assets/icons/equip/sword_q3.svg,1,3,一把神剑，适合练气后期,65,20,0,0,0,9,13,400
10066,神甲,assets/icons/equip/armor_q3.svg,2,3,一件神甲，防御极佳,0,90,0,0,0,9,13,400
10067,神镯,assets/icons/equip/bracelet_q3.svg,3,3,一对神镯，可增修为气运,40,30,0,15,0,9,13,380
10068,神靴,assets/icons/equip/boot_q3.svg,5,3,一双神靴，速度快,0,75,0,0,0,9,13,350
10069,神佩,assets/icons/equip/treasure_q3.svg,6,3,一块神佩，可增元神,45,0,0,0,15,9,13,320
10070,仙剑,assets/icons/equip/sword_q3.svg,1,3,一把仙剑，适合练气大圆满,70,25,0,0,0,9,13,450
10071,仙甲,assets/icons/equip/armor_q3.svg,2,3,一件仙甲，防御无双,0,100,0,0,0,9,13,450
10072,仙镯,assets/icons/equip/bracelet_q3.svg,3,3,一对仙镯，可增修为气运,45,35,0,20,0,9,13,420
10073,仙靴,assets/icons/equip/boot_q3.svg,5,3,一双仙靴，速度极快,0,85,0,0,0,9,13,400
10074,仙佩,assets/icons/equip/treasure_q3.svg,6,3,一块仙佩，可增元神,50,0,0,0,20,9,13,380
10075,玄铁剑,assets/icons/equip/sword_q4.svg,1,4,一把玄铁剑，适合筑基初期,75,30,0,0,0,12,17,800
10076,玄铁甲,assets/icons/equip/armor_q4.svg,2,4,一件玄铁甲，防御卓越,0,110,0,0,0,12,17,800
10077,玄铁镯,assets/icons/equip/bracelet_q4.svg,3,4,一对玄铁镯，可增修为,50,40,0,0,0,12,17,750
10078,玄铁靴,assets/icons/equip/boot_q4.svg,5,4,一双玄铁靴，速度极快,0,95,0,0,0,12,17,750
10079,玄铁佩,assets/icons/equip/treasure_q4.svg,6,4,一块玄铁佩，可增气运,55,0,0,25,0,12,17,720
10080,青云剑,assets/icons/equip/sword_q4.svg,1,4,一把青云剑，适合筑基初期,80,35,0,0,0,12,17,900
10081,青云甲,assets/icons/equip/armor_q4.svg,2,4,一件青云甲，防御无双,0,120,0,0,0,12,17,900
10082,青云镯,assets/icons/equip/bracelet_q4.svg,3,4,一对青云镯，可增修为气运,55,45,0,30,0,12,17,850
10083,青云靴,assets/icons/equip/boot_q4.svg,5,4,一双青云靴，速度极快,0,105,0,0,0,12,17,850
10084,青云佩,assets/icons/equip/treasure_q4.svg,6,4,一块青云佩，可增元神,60,0,0,0,25,12,17,800
10085,灵虚剑,assets/icons/equip/sword_q4.svg,1,4,一把灵虚剑，适合筑基初期,85,40,0,0,0,12,17,1000
10086,灵虚甲,assets/icons/equip/armor_q4.svg,2,4,一件灵虚甲，防御无双,0,130,0,0,0,12,17,1000
10087,灵虚镯,assets/icons/equip/bracelet_q4.svg,3,4,一对灵虚镯，可增修为气运,60,50,0,35,0,12,17,950
10088,灵虚靴,assets/icons/equip/boot_q4.svg,5,4,一双灵虚靴，速度极快,0,115,0,0,0,12,17,950
10089,灵虚佩,assets/icons/equip/treasure_q4.svg,6,4,一块灵虚佩，可增元神,65,0,0,0,30,12,17,900
10090,天剑,assets/icons/equip/sword_q4.svg,1,4,一把天剑，适合筑基中期,90,45,0,0,0,12,17,1200
10091,天甲,assets/icons/equip/armor_q4.svg,2,4,一件天甲，防御无双,0,140,0,0,0,12,17,1200
10092,天镯,assets/icons/equip/bracelet_q4.svg,3,4,一对天镯，可增修为气运,65,55,0,40,0,12,17,1100
10093,天靴,assets/icons/equip/boot_q4.svg,5,4,一双天靴，速度极快,0,125,0,0,0,12,17,1100
10094,天佩,assets/icons/equip/treasure_q4.svg,6,4,一块天佩，可增元神,70,0,0,0,35,12,17,1050
10095,神剑,assets/icons/equip/sword_q5.svg,1,5,一把神剑，适合筑基中期,100,50,0,0,0,14,42,3000
10096,神甲,assets/icons/equip/armor_q5.svg,2,5,一件神甲，防御无双,0,150,0,0,0,14,42,3000
10097,神镯,assets/icons/equip/bracelet_q5.svg,3,5,一对神镯，可增修为气运,70,60,0,45,0,14,42,2800
10098,神靴,assets/icons/equip/boot_q5.svg,5,5,一双神靴，速度极快,0,135,0,0,0,14,42,2800
10099,神佩,assets/icons/equip/treasure_q5.svg,6,5,一块神佩，可增元神,75,0,0,0,40,14,42,2600
10100,仙剑,assets/icons/equip/sword_q5.svg,1,5,一把仙剑，适合筑基中期,120,55,0,0,0,14,42,3500
